"","PRIMARY_COUNTY","FACILITY_NAME","DISCHARGE_METHOD","PRES_RES_TOTAL_RECEIVNG_TRMT","EXIST_MUNICIPAL","EXIST_INDUSTRIAL","EXIST_INFILTRATION","EXIST_TOTAL","EXIST_WET_WEATHER_PEAK","PRIMARY_WATERSHED_NAME","HORIZONTAL_COORDINATE_DATUM","PFOS  discharge  based on MN WWTP regression representing year 2007 (kg)","geometry","intersection","ORIGINAL_HUC_8","CALCULATED_HUC_12","CALCULATED_HUC_8"
"1106","Hillsdale","PITTSFORD TWP WWSL","Outfall To Surface Waters",1600,0.16,NA,NA,0.16,NA,"St. Joseph","North American Datum of 1983",0.000720478354414743,c(-84.4807, 41.8624),62833,"04050001","041000030102","04100003"
"1107","Columbia","CATAWISSA BORO STP","Outfall To Surface Waters",1589,0.07,NA,NA,0.07,NA,"Lower West Branch Susquehanna","North American Datum of 1983",0.00071434135250988,c(-76.4663, 40.9512),29795,"02050206","020501070805","02050107"
"1108","Winona","LEWISTON STP","Outfall To Surface Waters",1588,NA,NA,NA,0.34,NA,"Buffalo-Whitewater","North American Datum of 1983",0.000713783947618247,c(-91.8692, 43.9752),60996,"07040003","070400080501","07040008"
"1109","Arenac","STANDISH WWSL","Outfall To Surface Waters",1581,0.3,NA,NA,0.3,NA,"Carp-Pine","North American Datum of 1983",0.000709884474252201,c(-83.9269, 43.9969),23277,"04070002","040801020103","04080102"
"1110","Walworth","SHARON STP","Outfall To Surface Waters",1569,0.169,NA,NA,0.169,NA,"Upper Rock","North American Datum of 1983",0.00070320930575588,c(-88.7471, 42.497),10712,"07090001","070900021405","07090002"
"1111","Cheshire","Winchester WWTF","Outfall To Surface Waters",1566,0.224,NA,NA,0.224,0.386,"Middle Connecticut","Unknown",0.000701542423594586,c(-72.1951, 42.4619),14529,"01080201","010802040102","01080204"
"1112","Clarke","GROVE HILL JAMES CREEK WWTP","Outfall To Surface Waters",1566,0.15,NA,NA,0.15,NA,"Lower Tombigbee","North American Datum of 1983",0.000701542423594586,c(-86.9624, 31.7046),36736,"03160203","031403030301","03140303"
"1113","Knox","CREIGHTON WWTP","Outfall To Surface Waters",1552,0.25,NA,NA,0.25,NA,"Upper Elkhorn","North American Datum of 1983",0.000693773789231734,c(-97.9031, 42.4719),46256,"10220001","101701010703","10170101"
"1114","Schley","ELLAVILLE POND","Outfall To Surface Waters",1552,0.2,NA,NA,0.2,NA,"Middle Flint","North American Datum of 1983",0.000693773789231734,c(-84.3112, 32.2306),86181,"03130006","031300070703","03130007"
"1115","Pembina","CAVALIER LAGOON","Outfall To Surface Waters",1550,0.14,NA,NA,0.14,NA,"Pembina","World Geodetic System of 1984",0.000692665353120547,c(-97.585, 48.8421),82219,"09020313","090203161204","09020316"
"1116","Polk","FOSSTON WWTP","Outfall To Surface Waters",1547,NA,NA,NA,0.286,NA,"Sandhill-Wilson","North American Datum of 1983",0.00069100334256761,c(-95.8692, 47.4993),39956,"09020301","090201080703","09020108"
"1117","St. Martin","HENDERSON WWCTS","Outfall To Surface Waters",1543,0.22,NA,NA,0.22,NA,"Atchafalaya","North American Datum of 1983",0.000688788531680505,c(-91.7984, 30.3196),87970,"08080101","080801020701","08080102"
"1118","Warren","WRIGHT CITY WWTP","Outfall To Surface Waters",1532,0.3,NA,NA,0.3,NA,"Peruque-Piasa","North American Datum of 1983",0.000682704912920844,c(-91.0136, 38.8272),63024,"07110009","071100080407","07110008"
"1119","Macon","MAROA STP","Outfall To Surface Waters",1531,0.19,NA,NA,0.19,NA,"Upper Sangamon","North American Datum of 1983",0.000682152375211096,c(-88.9528, 40.0427),3617,"07130006","071300090302","07130009"
"1120","Davie","BERMUDA RUN WWTP","Outfall To Surface Waters",1531,0.175,NA,NA,0.175,NA,"Lower Yadkin","North American Datum of 1983",0.000682152375211096,c(-80.4198, 35.9965),71747,"03040103","030401011501","03040101"
"1121","Chittenden","HINESBURG WPCF","Outfall To Surface Waters",1530,0.2,0.043,NA,0.243,NA,"Winooski","North American Datum of 1983",0.000681599924110535,c(-73.1, 44.3167),45564,"02010003","043001080801","04300108"
"1122","Tuscola","AKRON FAIRGROVE STP","Outfall To Surface Waters",1522,0.13,NA,NA,0.13,NA,"Cass","North American Datum of 1983",0.000677183438409383,c(-83.5141, 43.5526),25297,"04080205","040801030104","04080103"
"1123","Clayton","MONONA WWTP","Outfall To Surface Waters",1520,0.15,NA,NA,0.15,NA,"Coon-Yellow","North American Datum of 1983",0.000676080186098792,c(-91.4003, 43.0447),7855,"07060001","070600040401","07060004"
"1124","Bryan","PEMBROKE WWTP","Outfall To Surface Waters",1519,0.13,NA,NA,0.13,NA,"Canoochee","North American Datum of 1927",0.000675528690549427,c(-81.3649, 32.0804),9984,"03060203","030602020605","03060202"
"1125","Rockbridge","GLASGOW STP","Outfall To Surface Waters",1513,0.12,NA,NA,0.12,NA,"Upper James","North American Datum of 1983",0.000672221548484194,c(-79.4444, 37.625),27414,"02080201","020802020506","02080202"
"1126","Piatt","CERRO GORDO STP","Outfall To Surface Waters",1511,0.09,NA,NA,0.09,NA,"Upper Sangamon",NA,0.000671119866457767,c(-88.7433, 39.7517),11592,"07130006","071402010605","07140201"
"1127","Divide","CROSBY LAGOON","Outfall To Surface Waters",1502,0.18,NA,NA,0.18,NA,"Upper Souris","World Geodetic System of 1984",0.000666166632648384,c(-103.3034, 48.9027),20620,"09010001","090100060602","09010006"
"1128","Fairfield","WINNSBORO JACKSON CR WWTP","Outfall To Surface Waters",1500,0.5,0.2,NA,0.7,NA,"Wateree","North American Datum of 1983",0.000665066879534587,c(-81.106, 34.3801),43756,"03050104","030501060504","03050106"
"1129","Phelps","ROLLA VICHY ROAD WWTP","Outfall To Surface Waters",1500,0.3,NA,NA,0.3,NA,"Lower Gasconade","North American Datum of 1983",0.000665066879534587,c(-91.7277, 37.9327),63296,"10290203","071401020108","07140102"
"1130","Harris","North Forest MUD WWTP","Outfall To Surface Waters",1500,0.15,0.08,NA,0.23,NA,"Spring","North American Datum of 1983",0.000665066879534587,c(-95.4406, 30.0007),95934,"12040102","120401040601","12040104"
"1131","Jefferson","MORRISON WWTP","Outfall To Surface Waters",1500,0.2,NA,NA,0.2,NA,"Middle South Platte-Cherry Creek","North American Datum of 1983",0.000665066879534587,c(-105.1792, 39.6539),14097,"10190003","101900020808","10190002"
"1132","Vernon","ROSEPINE WASTEWATER SYS","Outfall To Surface Waters",1500,0.2,NA,NA,0.2,NA,"Upper Calcasieu","North American Datum of 1983",0.000665066879534587,c(-93.3002, 30.9163),87784,"08080203","080802040304","08080204"
"1133","Schuylkill","NORTHEASTERN SCHUYLKILL JSA","Outfall To Surface Waters",1495,0.2,NA,NA,0.2,NA,"Schuylkill","North American Datum of 1927",0.000662319036939647,c(-76.0458, 45.3106),NA,"02040203","",""
"1134","Jefferson","Philadelphia (V) STP","Outfall To Surface Waters",1490,0.111,NA,0.032,0.143,NA,"Indian","North American Datum of 1983",0.000659573399089523,c(-75.7103, 44.1584),44890,"04150303","042900020303","04290002"
"1135","Ventura","NYELAND ACRES WWTF","Outfall To Surface Waters",1484,0.17,NA,NA,0.17,NA,"Salton Sea","North American Datum of 1983",0.000656281551848668,c(-115.5286, 33.2273),20970,"18100200","181002041309","18100204"
"1136","Pembina","WALHALLA LAGOON","Outfall To Surface Waters",1483,0.1,NA,NA,0.1,NA,"Pembina","World Geodetic System of 1984",0.000655733220778585,c(-97.9092, 48.9136),82844,"09020313","090203161309","09020316"
"1137","Merrimack","PITTSFIELD WWTF","Outfall To Surface Waters",1480,0.27,NA,NA,0.27,0.381,"Merrimack","North American Datum of 1983",0.000654088760139397,c(-71.3198, 43.294),15423,"01070002","010700060501","01070006"
"1138","Sullivan","DUSHORE AUTH STP","Outfall To Surface Waters",1480,0.1,NA,NA,0.1,NA,"Owego-Wappasening","North American Datum of 1983",0.000654088760139397,c(-76.4047, 41.5212),41295,"02050103","020502060402","02050206"
"1139","Windsor","CHESTER WWTF","Outfall To Surface Waters",1477,0.121,NA,NA,0.121,NA,"West","North American Datum of 1983",0.000652445099314005,c(-72.5831, 43.2602),21740,"01080107","010801060602","01080106"
"1140","Baca","SPRINGFIELD STP","Outfall To Surface Waters",1475,0.15,NA,NA,0.15,NA,"Bear","Unknown",0.00065134977038078,c(-102.3536, 37.2453),57279,"11040005","110400030104","11040003"
"1141","Fresno","Malaga WWTF","Outfall To Surface Waters",1468,0.18,0.87,NA,1.05,NA,"Tulare-Buena Vista Lakes","North American Datum of 1983",0.000647518928086218,c(-119.7457, 36.6779),59945,"18030012","180300090504","18030009"
"1142","Duchesne","DUCHESNE","Outfall To Surface Waters",1468,NA,NA,NA,0.16,NA,"Duchesne","North American Datum of 1983",0.000647518928086218,c(-110.4015, 40.1616),50547,"14060003","140600040806","14060004"
"1143","Cameron","Rio Hondo WWTP","Outfall To Surface Waters",1460,0.18,NA,NA,0.18,NA,"Central Laguna Madre","North American Datum of 1983",0.000643146188731351,c(-97.5836, 26.2472),29042,"12110207","121102080700","12110208"
"1144","Jim Wells","Orange Grove WWTP","Outfall To Surface Waters",1460,0.13,NA,NA,0.13,NA,"Lower Nueces","North American Datum of 1983",0.000643146188731351,c(-97.9356, 27.9426),52277,"12110111","121102050505","12110205"
"1145","Macon","MARSHALLVILLE WPCP","Outfall To Surface Waters",1457,0.08,NA,NA,0.08,NA,"Upper Flint","North American Datum of 1983",0.000641507891757196,c(-83.9417, 32.4416),89868,"03130005","031300060201","03130006"
"1146","Wayne","ROCKWOOD WWTP-CS","Outfall To Surface Waters",1456,0.15,NA,NA,0.15,NA,"Huron","North American Datum of 1983",0.000640961972567983,c(-83.2488, 42.0619),44617,"04090005","041000130407","04100013"
"1147","Trempealeau","TREMPEALEAU WWTP","Outfall To Surface Waters",1452,0.13,NA,NA,0.13,NA,"La Crosse-Pine","North American Datum of 1983",0.000638779196074065,c(-91.4443, 44.0045),62557,"07040006","070400030610","07040003"
"1148","Matagorda","Markhan WWTP","Outfall To Surface Waters",1444,0.045,NA,NA,0.045,NA,"Central Matagorda Bay","North American Datum of 1983",0.000634417974162007,c(-96.0464, 28.9025),28297,"12100401","120903020207","12090302"
"1149","Schuylkill","GIRARDVILLE AREA MA STP","Outfall To Surface Waters",1440,0.225,NA,NA,0.225,NA,"Schuylkill","North American Datum of 1983",0.000632239534814306,c(-76.2977, 40.792),42374,"02040203","020503010501","02050301"
"1150","Carter","LONE GROVE SOUTH WWT","Outfall To Surface Waters",1438,0.15,NA,NA,0.15,NA,"Lake Texoma","North American Datum of 1983",0.000631150859377737,c(-97.2704, 34.1866),42780,"11130210","111302010602","11130201"
"1151","Sibley","WINTHROP WWTP","Outfall To Surface Waters",1436,0.17,0.06,NA,0.23,NA,"Middle Minnesota","North American Datum of 1983",0.000630062547277155,c(-94.3633, 44.5485),630,"07020007","070200120402","07020012"
"1152","Stearns","AVON STP","Outfall To Surface Waters",1433,NA,NA,NA,0.15,NA,"Mississippi Headwaters","North American Datum of 1983",0.000628430761222671,c(-94.4406, 45.6189),183,"07010101","070102010201","07010201"
"1153","Lunenburg","KENBRIDGE STP","Outfall To Surface Waters",1429,0.245,NA,NA,0.245,NA,"Meheriin","North American Datum of 1983",0.000626256321756149,c(-78.1144, 36.9577),48780,"03010204","030102010201","03010201"
"1154","Morris","Roxbury Twp - Skyview STP","Outfall To Surface Waters",1427,0.085,NA,NA,0.085,NA,"Hackensack-Passaic","North American Datum of 1983",0.000625169649439681,c(-74.6425, 40.8431),46212,"02030103","020301050201","02030105"
"1155","Harris","Indian Shores WWTP","Outfall To Surface Waters",1425,0.15,NA,NA,0.15,NA,"East Fork San Jacinto","North American Datum of 1983",0.000624083342585825,c(-95.1041, 29.9706),97302,"12040103","120401040704","12040104"
"1156","Sublette","PINEDALE LAGOON","Outfall To Surface Waters",1412,0.08,NA,NA,0.08,NA,"Clarks Fork Yellowstone","North American Datum of 1983",0.000617031283196662,c(-109.8441, 42.882),78460,"10070006","140401020103","14040102"
"1157","Gila","WINKELMAN WWTF","Outfall To Surface Waters",1410,0.034,NA,NA,0.034,NA,"Upper Salt","North American Datum of 1983",0.000615947729802965,c(-110.7747, 32.9859),34960,"15060103","150501000111","15050100"
"1158","Cook","GRAND MARAIS WTP","Outfall To Surface Waters",1409,NA,NA,NA,0.35,NA,"Lake Superior","North American Datum of 1983",0.000615406091383724,c(-90.336, 47.7533),40425,"04020300","040101011202","04010101"
"1159","Aroostook","FRENCHVILLE, TOWN OF","Outfall To Surface Waters",1404,0.04,NA,NA,0.04,NA,"Upper St. John","North American Datum of 1983",0.000612699284054595,c(-68.4022, 47.2828),34094,"01010001","010100081202","01010008"
"1160","Taylor","LENOX WWTP","Outfall To Surface Waters",1401,0.29,NA,NA,0.29,NA,"Platte","North American Datum of 1983",0.000611076309268857,c(-94.5739, 40.8761),10479,"10240012","102400130201","10240013"
"1161","Dubuque","FARLEY WWTP","Outfall To Surface Waters",1400,0.52,NA,0.17,0.69,NA,"Maquoketa","North American Datum of 1983",0.000610535502909521,c(-91.0081, 42.4508),7548,"07060006","070600030603","07060003"
"1162","Hill","Hubbard WWTP","Outfall To Surface Waters",1400,0.169,NA,NA,0.169,NA,"Elm Fork Trinity","North American Datum of 1983",0.000610535502909521,c(-96.7925, 31.8355),17420,"12030103","120301080301","12030108"
"1163","Montgomery","Magnolia WWTP","Outfall To Surface Waters",1400,0.14,NA,NA,0.14,NA,"West Fork San Jacinto","North American Datum of 1983",0.000610535502909521,c(-95.7321, 30.1989),18219,"12040101","120401020204","12040102"
"1164","Cascade","SUN PRAIRIE VILLAGE W&S DISTRICT","Outfall To Surface Waters",1400,0.13,NA,NA,0.13,NA,"Upper Missouri-Dearborn","North American Datum of 1983",0.000610535502909521,c(-111.4886, 47.5394),55181,"10030102","100301040904","10030104"
"1165","Halifax","HALIFAX S T P","Outfall To Surface Waters",1400,0.04,0.01,NA,0.05,NA,"Lower Dan","North American Datum of 1983",0.000610535502909521,c(-78.923, 36.7692),54980,"03010104","030101050403","03010105"
"1166","Houston","SPRING GROVE STP","Outfall To Surface Waters",1396,NA,NA,NA,0.04,NA,"Root","North American Datum of 1983",0.00060837320499327,c(-91.6404, 43.5548),13719,"07040008","070600020501","07060002"
"1167","Grundy","DIAMOND STP","Outfall To Surface Waters",1393,0.138,NA,NA,0.138,NA,"Kankakee","North American Datum of 1983",0.000606752456866742,c(-88.2586, 41.2883),7994,"07120001","071200050502","07120005"
"1168","Bedford","EAST ST CLAIR - STONECREEK STP","Outfall To Surface Waters",1393,0.04,NA,NA,0.04,NA,"Conemaugh","North American Datum of 1983",0.000606752456866742,c(-78.5628, 40.1465),29786,"05010007","020503030302","02050303"
"1169","Anderson","IVA EASTSIDE FACILITY","Outfall To Surface Waters",1390,0.06,NA,NA,0.06,NA,"Saluda","North American Datum of 1983",0.000605132546240515,c(-82.3838, 34.1821),40266,"03050109","030601030605","03060103"
"1170","Northampton","RICH SQUARE WWTP","Outfall To Surface Waters",1387,0.13,NA,NA,0.13,NA,"Roanoke Rapids","North American Datum of 1983",0.000603513474487976,c(-77.2779, 36.2726),93947,"03010106","030102040806","03010204"
"1171","Bay","PINCONNING STP","Outfall To Surface Waters",1386,0.14,NA,NA,0.14,NA,"Lake Huron","North American Datum of 1983",0.000602973970558299,c(-83.9578, 43.8565),25841,"04080300","040801020107","04080102"
"1172","Aroostook","LIMESTONE WWTF","Outfall To Surface Waters",1384,0.1,NA,NA,0.1,NA,"Upper St. John","North American Datum of 1983",0.00060189524298774,c(-67.4846, 46.5421),41391,"01010001","010100100302","01010010"
"1173","Gallatin","MANHATTAN WWTP","Outfall To Surface Waters",1380,0.138,NA,0.115,0.253,NA,"Upper Missouri","North American Datum of 1983",0.000599738910439204,c(-111.3325, 45.8711),61732,"10030101","100200081401","10020008"
"1174","Acadia","IOTA OX POND","Outfall To Surface Waters",1376,0.2,NA,NA,0.2,NA,"Mermentau","North American Datum of 1983",0.000597584077428303,c(-92.5042, 30.3183),31342,"08080202","080802010307","08080201"
"1175","Scioto","West Portsmouth WWTP & Sewers","Outfall To Surface Waters",1372,0.161,NA,NA,0.161,NA,"Lower Scioto","North American Datum of 1983",0.000595430747266821,c(-83.0333, 38.7488),64833,"05060002","050901030606","05090103"
"1176","Cumberland","NEWVILLE BORO STP","Outfall To Surface Waters",1367,0.16,NA,NA,0.16,NA,"Lower Juniata","North American Datum of 1983",0.000592741203019773,c(-77.3942, 40.1756),42844,"02050304","020503050308","02050305"
"1177","Pacific","SOUTH BEND STP, CS","Outfall To Surface Waters",1363,0.167,NA,NA,0.167,NA,"Willapa Bay","North American Datum of 1927",0.000590591266466416,c(-123.4808, 46.3958),53214,"17100106","170800060301","17080006"
"1178","Coahoma","FRIARS POINT POTW","Outfall To Surface Waters",1360,0.2,NA,NA,0.2,NA,"Lower Mississippi-Helena","North American Datum of 1983",0.000588979807252392,c(-90.6325, 34.3709),29119,"08020100","080302070103","08030207"
"1179","Garfield","Parachute , Town  of","Outfall To Surface Waters",1360,0.1,NA,NA,0.1,NA,"Parachute-Roan","North American Datum of 1983",0.000588979807252392,c(-108.0449, 39.4373),59468,"14010006","140100050703","14010005"
"1180","Jefferson","Brownville (V) WWTP","Outfall To Surface Waters",1359,0.12,NA,0.09,0.21,NA,"Black","North American Datum of 1983",0.000588442843643814,c(-75.9841, 44.0016),44042,"04150101","041403011404","04140301"
"1181","Eaton","BELLEVUE WTP","Outfall To Surface Waters",1357,0.2,NA,NA,0.2,NA,"Thornapple","North American Datum of 1983",0.000587369200938656,c(-85.0084, 42.4464),64321,"04050007","040500030307","04050003"
"1182","Scott","WALCOTT WWTP (SOUTH)","Outfall To Surface Waters",1356,0.11,NA,NA,0.11,NA,"Copperas-Duck","North American Datum of 1983",0.000586832521948265,c(-90.7839, 41.5906),13842,"07080101","070802060501","07080206"
"1183","Vermilion","ROSSVILLE STP","Outfall To Surface Waters",1350,0.13,NA,NA,0.13,NA,"Middle Wabash-Little Vermilion","North American Datum of 1983",0.000583614444432427,c(-87.6825, 40.3795),86251,"05120108","051201090804","05120109"
"1184","Crawford","BOURBON WWTP","Outfall To Surface Waters",1348,0.16,NA,NA,0.16,NA,"Meramec","North American Datum of 1983",0.000582542513753586,c(-91.2468, 38.1634),39697,"07140102","071401030305","07140103"
"1185","Elk","JAY TWP STP - WEEDVILLE","Outfall To Surface Waters",1344,0.164,NA,NA,0.164,NA,"Clarion","North American Datum of 1983",0.000580399797712464,c(-78.4897, 41.2737),19742,"05010005","020502020305","02050202"
"1186","McLennan","MOODY STP","Outfall To Surface Waters",1330,0.123,NA,NA,0.123,NA,"Middle Brazos-Lake Whitney","North American Datum of 1983",0.000572912362873538,c(-97.3651, 31.3103),17444,"12060202","120702011001","12070201"
"1187","Wood","CENTRAL BOAZ PSD","Outfall To Surface Waters",1325,0.05,NA,NA,0.05,NA,"Little Kanawha","North American Datum of 1983",0.000570242849573095,c(-81.4979, 39.3698),80321,"05030203","050302020102","05030202"
"1188","Buffalo","RAVENNA WWTP","Outfall To Surface Waters",1323,0.13,0.12,NA,0.25,NA,"South Loup","North American Datum of 1983",0.000569175720507788,c(-98.9127, 41.0264),15028,"10210004","102100050405","10210005"
"1189","Chester","ELVERSON  BORO MUN AUTH","Outfall To Surface Waters",1323,0.066,NA,NA,0.066,NA,"Schuylkill","North American Datum of 1983",0.000569175720507788,c(-75.8352, 40.1595),56755,"02040203","020503061103","02050306"
"1190","Imperial","MECCA WWTF","Outfall To Surface Waters",1321,0.08,NA,NA,0.08,NA,"Salton Sea","North American Datum of 1983",0.000568108978539391,c(-115.6225, 32.8729),20955,"18100200","181002041103","18100204"
"1191","Somerset","CONEMAUGH TWP - JEROME STP","Outfall To Surface Waters",1305,0.13,NA,NA,0.13,NA,"Youghiogheny","North American Datum of 1983",0.000559589031971429,c(-78.9439, 40.1943),42689,"05020006","050100070103","05010007"
"1192","Tillamook","ROCKAWAY BEACH STP","Ocean Discharge",1300,0.24,NA,NA,0.24,NA,"Wilson-Trusk-Nestuccu","North American Datum of 1983",0.00055693167159061,c(-123.9361, 45.7167),56224,"17100203","171002010105","17100201"
"1193","DeWitt","Yorktown WWTP","Outfall To Surface Waters",1300,0.2,NA,NA,0.2,NA,"Middle Guadalupe","North American Datum of 1983",0.00055693167159061,c(-97.5008, 28.9718),29451,"12100202","121002040204","12100204"
"1194","Fayette","Flatonia WWTP","Outfall To Surface Waters",1300,0.11,NA,NA,0.11,NA,"Navidad","North American Datum of 1983",0.00055693167159061,c(-97.103, 29.7008),26981,"12100102","121002020303","12100202"
"1195","Renville","FAIRFAX WWTP","Outfall To Surface Waters",1298,0.12,NA,NA,0.12,NA,"Middle Minnesota","North American Datum of 1983",0.000555869413546707,c(-92.9853, 44.0662),63532,"07020007","070400040201","07040004"
"1196","Eau Claire","FALL CREEK WWTP","Outfall To Surface Waters",1296,0.1,NA,0.046,0.146,NA,"Upper Chippewa","World Geodetic System of 1984",0.000554807548253015,c(-91.2731, 44.7675),29422,"07050001","070500060504","07050006"
"1197","St. Tammany","ABITA SPRINGS STP","Outfall To Surface Waters",1296,0.12,NA,NA,0.12,NA,"Bogue Chitto","North American Datum of 1983",0.000554807548253015,c(-90.0367, 30.4785),64358,"03180005","080902010105","08090201"
"1198","Orangeburg","BOWMAN WWS","Outfall To Surface Waters",1295,0.216,0.02,NA,0.236,NA,"Four Hole Swamp","North American Datum of 1983",0.00055427676303137,c(-80.6783, 33.3572),43325,"03050206","030502050107","03050205"
"1199","Clark","CLARK WWTP","Outfall To Surface Waters",1292,0.12,NA,NA,0.12,NA,"Middle Big Sioux Coteau","North American Datum of 1983",0.000552684997759705,c(-97.7257, 44.8724),18142,"10170201","101702020105","10170202"
"1200","Fort Bend","Arcola WWTP","Outfall To Surface Waters",1290,0.11,NA,NA,0.11,NA,"West Galveston Bay","North American Datum of 1983",0.000551624313484946,c(-95.4046, 29.1442),11124,"12040204","120402050400","12040205"
"1201","Gratiot","BRECKENRIDGE WWSL","Outfall To Surface Waters",1289,0.12,NA,NA,0.12,NA,"Shiawassee","North American Datum of 1983",0.000551094119293476,c(-84.4793, 43.4346),61133,"04080203","040802020404","04080202"
"1202","Gilliam","ARLINGTON STP","Outfall To Surface Waters",1283,0.05,NA,NA,0.05,NA,"Lower John Day","North American Datum of 1983",0.000547915029056389,c(-120.2039, 45.7178),11946,"17070204","170701011402","17070101"
"1203","Rawlins","ATWOOD WWTP","Outfall To Surface Waters",1279,0.13,NA,NA,0.13,NA,"Beaver","North American Datum of 1983",0.000545797615961293,c(-101.0434, 39.8075),17263,"10250014","102500120307","10250012"
"1204","Grafton","LINCOLN WWTP","Outfall To Surface Waters",1276,0.611,0.25,NA,0.861,0.856,"Pemigewasset","North American Datum of 1927",0.000544210598522506,c(-71.403, 44.0214),102709,"01070001","010600020201","01060002"
"1205","Berks","CAERNARVON - MORGANTOWN STP","Outfall To Surface Waters",1268,0.11,0.01,NA,0.12,NA,"Schuylkill","North American Datum of 1983",0.000539982933123591,c(-75.8822, 40.1382),56755,"02040203","020503061103","02050306"
"1206","Dundy","BENKELMAN WWTP","Outfall To Surface Waters",1266,0.16,NA,NA,0.16,NA,"North Fork Republican","North American Datum of 1983",0.000538927015060132,c(-101.5333, 40.0502),64283,"10250002","102500040201","10250004"
"1207","Jefferson","China WWTP","Outfall To Surface Waters",1266,0.134,NA,NA,0.134,NA,"Sabine Lake","North American Datum of 1983",0.000538927015060132,c(-94.338, 30.0692),16705,"12040201","120200070201","12020007"
"1208","Macon","MACON STP","Outfall To Surface Waters",1260,0.17,NA,NA,0.17,NA,"South Fork Sangamon","North American Datum of 1983",0.000535761664430145,c(-88.972, 39.7695),9943,"07130007","071300060408","07130006"
"1209","Dutchess","La Grange (T) Titusville SD STP","Outfall To Surface Waters",1260,0.116,0.01,0.039,0.165,NA,"Hudson-Wappinger","North American Datum of 1983",0.000535761664430145,c(-73.5047, 41.3936),81973,"02020008","011000050801","01100005"
"1210","Shiawassee","LAINGSBURG LAGOON","Outfall To Surface Waters",1258,0.12,NA,NA,0.12,NA,"Maple","North American Datum of 1983",0.000534707350348921,c(-84.3547, 42.891),60801,"04050005","040500040606","04050004"
"1211","Hardin","North - Silsbee","Outfall To Surface Waters",1252,0.23,NA,NA,0.23,NA,"Lower Neches","North American Datum of 1983",0.000531546823285714,c(-94.2024, 30.3699),15833,"12020003","120200060406","12020006"
"1212","Madison","ENNIS - TOWN OF - WWTP","Outfall To Surface Waters",1250,0.144,NA,NA,0.144,NA,"Upper Missouri","North American Datum of 1983",0.000530494120951533,c(-111.7192, 45.3528),1784,"10030101","100200071205","10020007"
"1213","Montezuma","MANCOS WWTP","Outfall To Surface Waters",1250,0.12,NA,NA,0.12,NA,"Upper Dolores","North American Datum of 1983",0.000530494120951533,c(-108.3026, 37.3439),3032,"14030002","140801070104","14080107"
"1214","Smith","Gordonsville WWTP","Outfall To Surface Waters",1250,0.058,NA,NA,0.058,0.094,"Lower Cumberland-Old Hickory Lake","North American Datum of 1983",0.000530494120951533,c(-85.95, 36.2181),22603,"05130201","051301080908","05130108"
"1215","Christian","HWEA - CROFTON STP","Outfall To Surface Waters",1240,0.28,NA,NA,0.28,NA,"Lower Green","North American Datum of 1983",0.000525236681548231,c(-87.4719, 37.0519),85301,"05110005","051100060103","05110006"
"1216","Big Horn","Basin Wastewater Lagoon","Outfall To Surface Waters",1238,0.1,NA,NA,0.1,NA,"Big Horn Lake","North American Datum of 1983",0.000524186411585694,c(-108.056, 44.4063),46948,"10080010","100800071208","10080007"
"1217","Monroe","MOUNT POCONO BORO. STP","Outfall To Surface Waters",1237,0.249,NA,NA,0.249,NA,"Lehigh","North American Datum of 1983",0.000523661429248473,c(-75.3577, 41.1232),21126,"02040106","020401040902","02040104"
"1218","Columbus","FAIR BLUFF WWTP","Outfall To Surface Waters",1236,0.1,NA,NA,0.1,NA,"Lumber","North American Datum of 1927",0.00052313654875729,c(-79.0229, 34.1858),42588,"03040203","030402040801","03040204"
"1219","Clarion","FOXBURG AREA WATER & SEW AUTH","Outfall To Surface Waters",1234,0.085,NA,NA,0.085,NA,"Middle Allegheny-Tionesta","North American Datum of 1983",0.000522087093563606,c(-79.6676, 41.1376),41825,"05010003","050100051005","05010005"
"1220","St. Tammany","ST TAMMANY SD # 4","Outfall To Surface Waters",1232,0.148,NA,NA,0.148,NA,"Lake Pontchartrain","North American Datum of 1983",0.000521038046506654,c(-90.0856, 30.4241),64663,"08090202","080902010206","08090201"
"1221","Columbia","FALL RIVER WWTP","Outfall To Surface Waters",1232,0.14,NA,NA,0.14,NA,"Crawfish","North American Datum of 1983",0.000521038046506654,c(-89.0287, 43.3738),75209,"07090002","070900010704","07090001"
"1222","Orleans","ORLEANS VILLAGE WPCF","Outfall To Surface Waters",1232,0.074,0.01,NA,0.084,NA,"St. Francois","North American Datum of 1983",0.000521038046506654,c(-72.2, 44.8083),45063,"01110000","043002021102","04300202"
"1223","Stewart","RICHLAND POND","Outfall To Surface Waters",1227,0.12,NA,NA,0.12,NA,"Kinchafoonee-Muckalee","North American Datum of 1983",0.000518417217769899,c(-84.6661, 32.0897),13097,"03130007","031300030701","03130003"
"1224","Cook","LENOX WTF","Outfall To Surface Waters",1227,0.09,NA,NA,0.09,NA,"Withlacoochee","North American Datum of 1983",0.000518417217769899,c(-83.4803, 31.271),9571,"03110203","031102040405","03110204"
"1225","Huntingdon","WOOD TWP STP","Outfall To Surface Waters",1223,0.1,NA,NA,0.1,NA,"Lower Juniata","North American Datum of 1927",0.000516322398974994,c(-78.1109, 48.1868),NA,"02050304","",""
